                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 1.0238,                0.54691,                 1.0947,                0.71818,                0.75925,                0.78777,                0.50796,                  1.257,                0.74513,                 1.3119,              0.0010211,              0.0010211,              0.0010211
                     77,                 1.0183,                 0.5402,                 1.0936,                0.75403,                0.70671,                0.77012,                0.49777,                 1.2445,                0.74582,                 1.3256,               0.001018,               0.001018,               0.001018
                     78,                 1.0187,                0.53979,                 1.0962,                0.67806,                0.75507,                0.75555,                0.48723,                 1.2558,                0.78019,                 1.3498,              0.0010149,              0.0010149,              0.0010149
                     79,                 1.0165,                0.53174,                 1.0961,                0.69946,                 0.7604,                0.76924,                0.49453,                 1.2506,                0.74696,                 1.3274,              0.0010118,              0.0010118,              0.0010118
                     80,                 1.0096,                0.53626,                  1.091,                0.69088,                0.75806,                0.76842,                0.49343,                 1.2443,                 0.7746,                 1.3304,              0.0010087,              0.0010087,              0.0010087
                     81,                 1.0068,                0.54004,                 1.0853,                0.70194,                0.75436,                0.76569,                0.49664,                 1.2424,                0.74329,                  1.322,              0.0010056,              0.0010056,              0.0010056
                     82,                0.99944,                0.52549,                 1.0825,                0.67422,                0.74657,                0.75038,                0.47339,                 1.2736,                0.78476,                 1.3763,              0.0010025,              0.0010025,              0.0010025
                     83,                 1.0029,                0.52768,                 1.0905,                0.70494,                0.74022,                0.74864,                0.48291,                 1.2565,                0.79539,                 1.3269,             0.00099941,             0.00099941,             0.00099941
                     84,                 1.0017,                 0.5357,                 1.0828,                0.72779,                 0.7422,                0.77012,                0.49319,                 1.2481,                0.75731,                 1.3325,             0.00099631,             0.00099631,             0.00099631
                     85,                0.99827,                0.52726,                 1.0832,                0.71849,                 0.7368,                0.76988,                0.49746,                 1.2373,                0.74575,                 1.3361,             0.00099322,             0.00099322,             0.00099322
